Station Number,Station,Date,Riding Type,01AM-02AM,02AM-03AM,03AM-04AM,04AM-05AM,05AM-06AM,06AM-07AM,07AM-8AM,08AM-09AM,09AM-10AM,10AM-11AM,11AM-12PM,12PM-13PM,13PM-14PM,14PM-15PM,15PM-16PM,16PM-17PM,17PM-18PM,18PM-19PM,19PM-20PM,20PM-21PM,21PM-22PM,22PM-23PM,23PM-24AM,24AM-01AM
226,Gamjeon,2024.1.1,alighting,0,0,0,0,26,97,54,119,127,93,102,109,76,67,105,112,100,92,60,53,44,24,16,10
227,Sasang,2024.1.1,boarding,0,0,0,2,284,334,217,302,514,686,965,1055,1217,1198,1286,1396,1376,1123,955,892,810,376,192,12
227,Sasang,2024.1.1,alighting,0,0,0,0,447,603,551,801,1035,805,1001,1276,1379,1492,1306,1369,1314,1146,904,936,583,458,189,63
228,Deokpo,2024.1.1,boarding,0,0,0,0,121,109,46,94,109,107,141,137,146,143,175,172,156,94,76,55,31,22,16,2
228,Deokpo,2024.1.1,alighting,0,0,0,0,20,46,43,74,111,93,119,137,146,126,157,161,149,112,96,101,62,55,49,18
229,Modeok,2024.1.1,boarding,0,0,0,0,25,20,13,15,20,22,29,54,29,54,34,30,46,19,18,7,7,1,2,1
229,Modeok,2024.1.1,alighting,0,0,0,0,6,18,33,15,29,27,18,29,22,33,32,24,25,12,17,10,13,7,10,6
230,Mora,2024.1.1,boarding,0,0,0,4,161,107,69,92,127,183,184,222,208,204,162,157,148,98,63,55,51,25,10,1
230,Mora,2024.1.1,alighting,0,0,0,0,12,51,63,62,196,102,121,112,125,172,190,202,175,156,95,80,97,64,29,14
231,Gunam,2024.1.1,boarding,0,0,0,5,128,110,50,92,137,139,182,160,155,173,157,134,160,98,63,77,47,27,22,1
231,Gunam,2024.1.1,alighting,0,0,0,2,24,57,54,70,110,96,126,136,94,147,173,235,180,192,105,126,120,95,55,11
232,Gumyeong,2024.1.1,boarding,0,0,0,3,95,65,49,85,122,115,170,143,128,136,109,98,103,104,53,48,30,14,8,2
232,Gumyeong,2024.1.1,alighting,0,0,0,0,15,56,26,50,97,70,81,80,84,82,126,114,123,103,69,68,75,63,34,7
233,Deokcheon,2024.1.1,boarding,0,0,0,2,50,69,44,50,84,157,181,234,257,267,275,239,231,200,127,95,93,52,32,4
233,Deokcheon,2024.1.1,alighting,0,0,0,0,44,84,61,123,225,194,244,389,291,326,270,279,247,205,116,101,100,74,46,8
234,Sujeong,2024.1.1,boarding,0,0,0,2,180,148,66,108,152,158,205,200,179,198,200,175,195,130,111,76,63,53,18,2
234,Sujeong,2024.1.1,alighting,0,2,0,0,30,68,42,96,191,126,142,125,159,189,249,243,266,187,144,161,126,92,72,28
235,Hwamyeong,2024.1.1,boarding,0,0,0,7,274,163,134,178,203,216,322,315,395,391,389,395,367,304,231,201,191,115,66,6
235,Hwamyeong,2024.1.1,alighting,0,0,0,1,19,165,102,146,344,343,282,293,351,378,407,420,386,389,260,296,196,182,108,31
236,Yulli,2024.1.1,boarding,0,0,0,5,126,77,71,105,137,164,161,173,189,167,171,139,119,74,76,55,32,19,12,0
236,Yulli,2024.1.1,alighting,0,0,0,2,5,66,36,41,105,113,99,93,111,168,173,173,168,139,109,114,142,83,49,21
237,Dongwon,2024.1.1,boarding,0,0,0,5,38,31,24,45,53,57,80,72,77,74,57,58,57,39,17,12,8,3,9,1
237,Dongwon,2024.1.1,alighting,0,0,0,0,0,18,12,14,29,23,33,43,40,60,79,86,75,57,67,37,24,16,17,3
238,Geumgok,2024.1.1,boarding,0,0,0,6,80,56,45,57,95,97,111,127,110,114,110,88,78,56,33,37,22,15,9,3
238,Geumgok,2024.1.1,alighting,0,0,0,0,1,43,18,43,57,51,61,77,78,72,93,97,112,63,48,71,46,33,26,14
239,Hopo,2024.1.1,boarding,0,0,0,2,4,4,16,27,26,28,34,36,57,68,133,108,82,85,47,37,26,13,1,2
239,Hopo,2024.1.1,alighting,0,0,0,1,1,21,47,56,50,55,121,111,104,63,52,74,66,53,26,22,22,24,6,10
240,Jeungsan,2024.1.1,boarding,0,0,0,7,130,61,78,68,99,138,155,158,159,175,146,180,170,132,91,120,71,58,28,4
240,Jeungsan,2024.1.1,alighting,0,0,0,1,14,74,57,72,158,152,154,128,136,149,214,240,216,194,130,135,115,74,51,24
241,Pusan Nat\'l Univ. Yangsan Campus,2024.1.1,boarding,0,0,0,5,36,23,22,31,28,37,55,33,39,35,45,65,43,32,32,26,10,10,8,3
241,Pusan Nat\'l Univ. Yangsan Campus,2024.1.1,alighting,0,1,0,0,2,14,18,9,37,45,40,33,32,32,44,55,52,52,40,35,16,26,13,10
242,Namyangsan,2024.1.1,boarding,0,3,0,18,149,56,68,58,85,102,161,144,146,147,141,170,118,88,78,71,50,32,10,0
242,Namyangsan,2024.1.1,alighting,0,8,0,0,5,56,45,37,144,103,103,107,113,116,140,179,161,169,138,108,83,90,52,26
243,Yangsan,2024.1.1,boarding,0,0,0,26,167,76,76,93,143,242,274,253,284,328,414,379,302,218,159,152,110,72,26,0
243,Yangsan,2024.1.1,alighting,0,7,0,0,8,95,103,140,264,264,258,258,290,338,348,275,286,198,257,180,152,136,81,48
302,Mangmi,2024.1.1,boarding,0,0,0,0,91,225,92,114,141,156,180,180,213,201,140,148,157,134,77,57,44,13,21,3
302,Mangmi,2024.1.1,alighting,0,0,0,0,14,59,42,138,78,84,94,112,120,170,225,221,194,180,134,137,106,59,39,19
303,Baesan,2024.1.1,boarding,0,0,0,2,81,163,69,115,159,161,224,199,184,175,139,116,123,83,42,48,31,15,9,0
303,Baesan,2024.1.1,alighting,0,0,0,0,19,73,42,113,86,97,95,120,157,152,216,220,247,196,150,131,105,87,47,13
304,Mulmangol,2024.1.1,boarding,0,0,0,0,74,165,70,90,155,131,143,138,151,126,131,108,123,99,47,47,34,15,6,1
304,Mulmangol,2024.1.1,alighting,0,0,0,0,25,50,44,129,134,88,94,96,115,141,156,185,158,166,105,111,89,78,36,5
305,Yeonsan,2024.1.1,boarding,0,0,0,3,162,492,139,153,176,208,239,269,309,361,371,347,334,261,214,178,164,123,73,4
305,Yeonsan,2024.1.1,alighting,0,1,0,1,57,98,80,396,313,176,234,281,274,257,270,314,324,246,189,245,157,102,99,19
306,Geoje,2024.1.1,boarding,0,0,0,0,56,137,56,82,135,170,141,193,158,165,207,189,237,214,123,117,89,68,14,2
306,Geoje,2024.1.1,alighting,0,0,0,0,98,109,47,159,151,187,175,151,197,162,162,162,172,159,127,95,60,72,34,11
307,Sports Complex,2024.1.1,boarding,0,0,0,0,95,324,73,108,134,134,141,166,215,247,182,206,220,200,94,72,70,58,33,6
307,Sports Complex,2024.1.1,alighting,0,0,0,0,30,74,63,211,234,149,149,161,183,162,209,235,193,197,156,160,112,69,51,15
308,Sajik,2024.1.1,boarding,0,0,0,2,181,442,129,130,153,152,188,307,255,268,228,257,242,168,98,81,82,68,37,5
308,Sajik,2024.1.1,alighting,0,0,0,1,29,81,62,259,336,183,145,189,175,177,200,297,305,225,214,178,161,116,73,25
309,Minam,2024.1.1,boarding,0,0,1,0,186,412,146,207,302,292,349,386,391,328,328,306,339,301,186,144,110,76,42,6
309,Minam,2024.1.1,alighting,0,0,1,0,53,114,96,259,290,225,214,279,300,302,359,400,440,369,225,356,211,192,111,26
310,Mandeok,2024.1.1,boarding,0,0,0,0,182,219,98,127,153,186,223,224,267,231,179,206,184,124,75,54,27,30,9,1
310,Mandeok,2024.1.1,alighting,0,0,0,0,24,90,58,149,210,136,156,175,132,233,241,303,278,225,214,190,171,103,90,27
311,Namsanjeong,2024.1.1,boarding,0,0,0,2,157,164,91,93,180,251,228,287,265,237,212,194,144,99,77,51,37,27,15,2
311,Namsanjeong,2024.1.1,alighting,0,0,0,0,24,32,40,57,109,105,137,144,132,190,198,257,217,156,128,106,103,76,50,13
312,Sukdeung,2024.1.1,boarding,0,0,0,1,70,97,60,87,108,129,146,124,142,157,144,139,150,94,95,57,50,25,15,2
312,Sukdeung,2024.1.1,alighting,0,0,0,0,7,67,33,72,141,92,116,107,112,139,145,131,145,113,97,75,74,45,35,7
313,Deokcheon,2024.1.1,boarding,0,0,0,5,230,187,101,157,214,302,365,426,444,548,598,613,485,358,277,213,169,151,85,13
