Date,Line Number,Station Number,Station,Ride Type,Before 6AM,06AM-07AM,07AM - 08AM,08AM - 09AM,09AM-10AM,10AM-11AM,11AM-12PM,12PM-13PM,13PM-14PM,14PM-15PM,15PM-16PM,16PM-17PM,17PM-18PM,18PM-19PM,19PM-20PM,20PM-21PM,21PM-22PM,22PM-23PM,23PM-24AM,After 24AM
2023.12.31,3,330,Seoul Nat'l Univ. of Education(Court & Prosecutors’ Office),alighting,7,50,46,88,167,175,137,159,181,192,180,182,219,217,162,133,106,124,67,53
2023.12.31,3,331,Nambu Bus Terminal (Seoul Arts Center),boarding,51,132,193,318,590,786,865,1035,1073,1073,1118,1222,1469,1100,890,662,529,652,105,230
2023.12.31,3,331,Nambu Bus Terminal (Seoul Arts Center),alighting,35,329,374,524,712,958,759,1135,1221,1108,1088,1093,1004,917,725,694,544,424,315,226
2023.12.31,3,332,Yangjae (Seocho-gu Office),boarding,117,186,238,334,541,608,638,883,892,877,866,1006,1099,1063,630,717,683,471,241,51
2023.12.31,3,332,Yangjae (Seocho-gu Office),alighting,17,436,470,648,860,825,868,835,1145,795,838,884,966,898,640,689,667,532,412,359
2023.12.31,3,333,Maebong,boarding,26,79,91,128,188,232,258,304,368,321,336,366,304,231,226,217,277,190,55,9
2023.12.31,3,333,Maebong,alighting,17,95,117,203,248,286,266,241,310,258,281,304,319,304,244,195,137,161,83,102
2023.12.31,3,334,Dogok,boarding,17,26,28,63,90,110,131,135,169,167,137,137,147,120,131,106,97,114,19,7
2023.12.31,3,334,Dogok,alighting,10,45,77,136,174,118,112,113,166,96,119,147,192,141,98,95,65,87,52,111
2023.12.31,3,335,Daechi,boarding,50,163,107,200,256,286,377,588,602,429,471,463,1071,505,275,247,361,638,50,30
2023.12.31,3,335,Daechi,alighting,24,173,177,415,420,313,362,541,588,419,372,388,490,426,273,243,225,219,146,136
2023.12.31,3,336,Hangnyeoul,boarding,13,10,19,35,52,92,108,311,388,368,380,311,169,56,37,37,27,9,8,6
2023.12.31,3,336,Hangnyeoul,alighting,5,19,18,41,95,194,389,384,348,303,225,104,98,39,41,40,34,26,31,27
2023.12.31,3,337,Daecheong,boarding,57,130,151,229,339,358,393,402,363,347,353,350,352,241,157,155,152,116,42,24
2023.12.31,3,337,Daecheong,alighting,23,62,73,95,122,187,198,197,274,305,317,287,384,399,298,290,299,270,175,166
2023.12.31,3,338,Irwon,boarding,34,84,142,164,200,333,281,461,359,426,332,366,337,194,120,120,106,113,36,35
2023.12.31,3,338,Irwon,alighting,15,127,134,151,166,309,196,289,248,306,292,319,290,291,229,216,197,260,90,79
2023.12.31,3,339,Suseo,boarding,80,123,218,401,644,1094,682,1175,797,649,886,862,832,756,433,593,421,529,216,37
2023.12.31,3,339,Suseo,alighting,62,328,373,464,622,754,597,711,674,707,795,916,924,814,664,620,597,447,131,195
2023.12.31,3,340,Garak Market,boarding,35,65,86,164,213,292,309,346,410,396,401,386,347,323,213,202,194,131,42,34
2023.12.31,3,340,Garak Market,alighting,8,85,63,106,146,263,240,311,377,372,356,398,385,365,274,215,160,156,120,145
2023.12.31,3,341,National Police Hospital,boarding,44,77,98,159,252,256,217,228,251,232,239,197,197,142,101,122,117,98,27,13
2023.12.31,3,341,National Police Hospital,alighting,2,62,53,82,115,139,145,150,187,185,193,235,289,223,193,214,154,158,102,68
2023.12.31,3,342,Ogeum,boarding,60,67,83,204,226,240,197,324,236,202,164,194,182,141,66,76,75,62,12,9
2023.12.31,3,342,Ogeum,alighting,1,52,33,73,134,227,104,111,142,186,161,164,223,237,203,137,145,160,161,76
2023.12.31,4,409,Danggogae,boarding,104,128,203,334,460,532,415,521,478,516,379,418,380,324,245,206,188,142,46,12
2023.12.31,4,409,Danggogae,alighting,0,104,78,129,211,333,236,246,310,324,373,402,430,558,345,366,337,304,213,178
2023.12.31,4,410,Sanggye,boarding,197,248,351,550,827,912,841,966,893,923,803,762,677,631,436,403,416,336,122,35
